Barclays Industry,Market Value %,Portfolio
Treasury,59.028614930942766,USD Portfolio
Banking,7.935081436165207,USD Portfolio
Consumer Non-Cyclical,5.296699241878437,USD Portfolio
Technology,3.190008273666669,USD Portfolio
Electric,2.807699352831466,USD Portfolio
Communications,2.798361554897174,USD Portfolio
Consumer Cyclical,2.470202330311555,USD Portfolio
Energy,2.4064824923605217,USD Portfolio
Supranational,1.9101232033142135,USD Portfolio
Capital Goods,1.862682658935198,USD Portfolio
