Structure,Market Value %,Portfolio
SENIOR,87.07951863662811,EUR Portfolio
SECURED,6.9927942561310585,EUR Portfolio
SRP,1.9713772267494096,EUR Portfolio
SRBN,1.7977450524040623,EUR Portfolio
SUB,1.446063265708315,EUR Portfolio
CAPSEC,0.4109236905968432,EUR Portfolio
UNSEC,0.20732933870139184,EUR Portfolio
JRSUB,0.047162783486707244,EUR Portfolio
SRSEC,0.028123443105572205,EUR Portfolio
SRUNSEC,0.008632091642218216,EUR Portfolio
