CUSIP,Market Value %,Portfolio
FFAW20214,1.8145451251456217,USD Portfolio
FFAW20206,1.2485837210692725,USD Portfolio
FFAW24216,0.9877079550419859,USD Portfolio
GNB020215,0.6692302875693547,USD Portfolio
FFAW24208,0.627125748034652,USD Portfolio
GNB024217,0.6199693889840212,USD Portfolio
91282CJJ1,0.4358117186088858,USD Portfolio
91282CJZ5,0.43562833121678524,USD Portfolio
GNB024209,0.3897872851657948,USD Portfolio
91282CHT1,0.38848427628366355,USD Portfolio
