Portfolio,Total Market Value,Weighted Yield to Worst,Average Maturity (yrs)
USD Portfolio,26313825046.93061,5.308770986447526,12.859623679566337
EUR Portfolio,13373313041.073902,3.36286473133852,5.9463943167038105
