Maturity Bucket,Market Value %,Portfolio
0-3y,28.919489793856627,USD Portfolio
3-5y,12.79684938685487,USD Portfolio
5-10y,14.290205866741287,USD Portfolio
10-30y,43.027444048075054,USD Portfolio
30y+,0.9660109044721612,USD Portfolio
